long,lat,boron,nitrogen,phos,potas,pH,zinc,clay,OM,Sand,Silt,Rainfall,Temp,Elevation,Slope,nearest_rainfall,Water,Road,LULC_Code
83.85515,28.60636,0.657479,0.2757075,160.5911102,422.5906372,6.5132923,3.5186403,14.4869051,4.4254403,51.5534897,36.2452354,1981.199951,-11.7559996,7177,51.0431023,161.8109589,1226.073853,8431.494141,3
83.86235,28.60636,0.6591523,0.2769243,160.055542,425.0395813,6.5074806,3.4723589,14.4706535,4.4272604,51.5692863,36.1869736,1969.310059,-12.3724003,6921,57.6208649,203.3587494,1020.15509,8312.81543,3
83.86954,28.60636,0.6608163,0.2782243,159.5142517,427.5567017,6.5017643,3.4265556,14.4568272,4.4291854,51.5859947,36.1276779,1955.609985,-9.3508797,6606,37.7882271,151.9092712,1140.568115,8286.573242,2
83.87673,28.60636,0.6624639,0.2795961,158.9626923,430.1184692,6.4961944,3.3821728,14.4444599,4.4311366,51.6025772,36.0673599,1938.390015,-11.2189999,6505,31.5796566,209.8904266,1700.258545,8289.179688,3
83.88393,28.60636,0.6640908,0.2810367,158.4000244,432.7201843,6.4907813,3.3393614,14.4333,4.4331131,51.6184998,36.0061378,1917.75,-18.9001007,6950,31.1927738,226.1233063,2281.136231,8352.131836,2
83.89112,28.60636,0.6656975,0.2825444,157.8264008,435.3603516,6.4855227,3.298059,14.4234056,4.435133,51.6333961,35.944088,1893.930054,-14.4692001,7091,43.9804878,164.8759918,2368.186035,8410.493164,2
83.89831,28.60636,0.6672875,0.2841169,157.241806,438.0378723,6.4804149,3.2581949,14.4148912,4.4372067,51.6468544,35.8813286,1867.180054,-12.6113005,6777,56.7490997,142.1526642,1750.523193,8473.021484,2
83.84077,28.59916,0.6407964,0.2731953,161.9778442,418.4118958,6.5058155,3.6718352,14.4407692,4.4187322,51.4786072,36.4886284,2046.02002,-9.5345297,7157,53.188118,146.0104828,2281.136231,8040.056152,3
83.84796,28.59916,0.6427109,0.274186,161.4553375,420.6161499,6.5000386,3.6208684,14.4202681,4.4205608,51.4913559,36.4316978,2039.219971,-8.0335302,6613,57.6642609,177.2592163,1700.258545,7817.518555,3
83.85515,28.59916,0.6446188,0.2752557,160.9254303,422.8921814,6.4943128,3.5704863,14.4022694,4.4224668,51.5061607,36.373127,2031.160034,-4.88134,6257,65.4795609,141.5286102,1226.073853,7633.983398,3
